latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,no_of_days_since_lastreview
1.28614,103.8421,2,99,90,2,0.07,83,326,572
1.33305,103.87235,3,46,180,0,0.0,1,365,1887
1.31481,103.88611,1,119,14,19,0.35,84,89,169
1.3069,103.83188,2,125,1,0,0.0,1,0,1887
1.35418,103.8336,2,60,1,3,0.23,9,356,25
1.31536,103.86045,2,150,1,0,0.0,9,364,1887
1.31114,103.88278,2,90,1,150,2.68,37,337,15
1.28508,103.84292,3,25,2,0,0.0,1,0,1887
1.28361,103.84276,2,58,90,168,2.99,2,126,29
1.29582,103.84221,1,119,28,6,0.12,84,50,153
1.2873,103.84894,1,186,7,85,1.56,40,363,12
1.31671,103.82831,1,144,7,18,0.33,19,0,119
1.31091,103.88131,2,60,1,63,1.12,37,342,17
1.3103,103.88191,2,60,1,35,0.63,37,350,24
1.29435,103.83551,2,125,1,1,0.02,1,0,1684
1.30505,103.79822,2,82,4,3,0.08,1,365,348
1.3293,103.85402,2,50,1,0,0.0,1,0,1887
1.31553,103.88662,1,181,5,62,1.17,84,34,25
1.30722,103.85733,3,37,1,0,0.0,1,0,1887
1.31408,103.854,2,92,1,8,0.15,9,266,784
1.30147,103.84732,1,100,5,1,0.02,67,0,1620
1.27546,103.84014,1,158,6,3,0.06,4,363,15
1.31403,103.84667,2,60,1,3,0.05,1,0,1473
1.31977,103.85305,1,300,7,25,0.45,203,275,128
1.31326,103.85289,1,390,1,157,2.95,9,265,1
1.29611,103.82991,2,69,21,16,0.32,4,141,23
1.28257,103.83125,2,132,2,2,0.04,1,362,613
1.31153,103.88118,2,60,1,17,0.32,37,347,37
1.31105,103.88313,2,60,1,55,1.0,37,342,22
1.31445,103.84049,2,208,1,0,0.0,1,0,1887
1.28095,103.84155,1,164,2,5,0.12,1,0,848
1.35376,103.83178,2,49,3,70,1.27,3,0,183
1.30634,103.84011,1,160,3,76,1.63,6,158,13
1.30163,103.84839,1,137,7,18,0.32,203,361,106
1.35426,103.82829,2,49,3,61,1.11,3,0,184
1.27599,103.8406,1,158,6,6,0.12,4,340,49
1.32669,103.84227,1,300,10,31,0.56,203,365,30
1.31537,103.88546,2,154,1,0,0.0,1,364,1887
1.27962,103.83986,1,250,3,41,0.75,9,65,17
1.3151,103.8585,1,81,29,9,0.17,3,211,51
1.3114,103.88322,2,60,1,25,0.47,37,353,15
1.31779,103.85225,1,224,30,13,0.26,3,365,619
1.31539,103.82758,1,149,7,14,0.27,19,0,341
1.30244,103.84733,1,90,5,9,0.17,67,55,40
1.32611,103.84476,1,300,14,42,0.77,203,365,94
1.31665,103.85351,2,62,1,0,0.0,2,0,1887
1.31489,103.84165,1,149,2,1,0.02,2,0,1344
1.2856,103.82841,2,60,5,7,0.13,1,0,1141
1.28185,103.84657,2,160,365,0,0.0,1,363,1887
1.32815,103.86575,1,201,7,25,0.46,203,309,405
1.31039,103.8845,1,75,1,4,0.72,5,359,15
1.30514,103.85597,1,119,2,158,3.05,10,122,20
1.30402,103.85423,1,115,2,198,3.61,10,0,18
1.29224,103.84259,2,146,1,0,0.0,2,0,1887
1.30376,103.85471,1,119,2,170,3.19,10,105,20
1.30543,103.85647,1,115,2,188,3.44,10,96,16
1.30541,103.85508,1,90,2,153,2.95,10,58,22
1.30386,103.85459,1,106,2,246,4.49,10,63,19
1.32723,103.86533,2,208,1,0,0.0,1,0,1887
1.31281,103.84826,1,106,1,22,0.41,5,336,1
1.30197,103.89935,2,49,2,10,0.62,1,344,16
1.31243,103.88441,1,90,1,8,0.15,5,353,57
1.31005,103.87613,1,219,1,1,0.02,5,364,1285
1.2761,103.84071,1,228,6,2,0.1,4,364,571
1.27493,103.84029,1,200,6,5,0.11,4,364,30
1.3291,103.88257,2,107,2,7,0.16,2,363,12
1.27574,103.83632,1,190,365,45,0.84,6,89,983
1.3195,103.84791,2,99,1,238,4.39,3,329,5
1.31773,103.84633,2,94,1,191,3.56,3,351,4
1.31372,103.848,1,131,1,18,0.35,5,343,9
1.30953,103.85958,1,194,1,9,0.17,16,351,494
1.29891,103.84659,1,350,365,44,0.81,6,83,1266
1.31164,103.79555,2,60,30,14,0.26,14,359,22
